name,total_touches,rush_points,rec_points,total,position_rank
"Jonathan Taylor",1369.0,13.84875648,2.72579617225647,16.57455265225647,1
"Alvin Kamara",2116.0,7.80830820,7.869456413269043,15.677764613269044,2
"Christian McCaffrey",1872.0,6.58664110,7.852571876525879,14.439212976525878,3
"Jahmyr Gibbs",536.0,10.29124512,3.1653740575408937,13.456619177540894,4
"Bijan Robinson",637.0,9.54981666,3.7728860967254643,13.322702756725464,5
"Derrick Henry",2529.0,12.45989680,0.7234559783935547,13.183352778393553,6
"Saquon Barkley",1867.6,9.70852728,3.058667830810547,12.767195110810547,7
"Kenneth Walker III",702.0,8.70742260,3.6612240158081053,12.368646615808105,8
"Joe Mixon",2134.4,8.60244000,3.7198654943847655,12.322305494384764,9
"Breece Hall",664.2,6.01252200,6.305472851371765,12.317994851371765,10
"De'Von Achane",411.0,6.56111610,5.539269291992188,12.100385391992187,11
"Kyren Williams",654.0,10.67084928,1.411488052368164,12.082337332368164,12
"Aaron Jones",1755.2,7.69705200,4.3676818759918214,12.064733875991822,13
"Chase Brown",341.0,6.29107200,5.228335921478271,11.51940792147827,14
"D'Andre Swift",1083.0,7.45306856,3.973409088134766,11.426477648134766,15
"Josh Jacobs",1839.0,9.51155920,1.648830093383789,11.16038929338379,16
"Tony Pollard",1239.0,8.04845580,3.0552010121154787,11.103656812115478,17
"Bucky Irving",254.0,7.94032668,3.058225668640137,10.998552348640137,18
"Chuba Hubbard",876.4,8.27265200,2.5910912963867188,10.863743296386719,19
"James Conner",1641.6,7.94387088,2.6963094131469725,10.640180293146972,20
"Isiah Pacheco",527.1,7.40036880,2.667956276321411,10.068325076321411,21
"James Cook",630.0,7.38904320,2.4776085515213015,9.866651751521301,22
"Jaylen Warren",472.8,6.23375808,3.632802992248535,9.866561072248535,23
"David Montgomery",1525.8,6.73958880,1.2209399604797364,7.960528760479736,24
